team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,fouls,turnovers,efficiency,init
ATL,100,93.41,660,2337,1453,8107,832,2676,1846,645,381,1432,1201,147.21230482963233,0.3109118086696562
BOS,63,91.92,985,2183,1536,8857,744,2698,2069,617,340,1686,1037,148.23947107577217,0.27575982209043737
BRK,70,76.22,777,2040,1444,7855,689,2697,1664,568,382,1620,1212,167.03330895362924,0.25546903967371154
CHI,59,92.5,565,2162,1330,7349,865,2419,1746,605,339,1275,956,139.09777691038656,0.35758577924762297
CHO,63,88.5,808,2089,1497,8099,621,2615,1806,543,316,1177,820,141.50192409742044,0.23747609942638623
CLE,145,127.25,1030,2148,1384,8770,735,2673,1779,483,304,1356,1020,182.08056471607966,0.27497194163860833
DAL,65,92.83,712,1754,1007,6651,521,2063,1183,507,257,1229,674,144.6322389053162,0.2525448376151236
DEN,83,79.03,868,2351,1477,8783,872,2660,2015,543,286,1475,1102,172.24448231535152,0.32781954887218046
DET,55,103.07,631,2638,1140,8309,908,2838,1732,574,310,1467,932,136.40891892077593,0.31994362226920364
GSW,113,100.24,982,2545,1455,9491,770,2869,2486,782,554,1581,1179,175.33843821543599,0.26838619728128266
HOU,70,87.39,1140,2011,1623,9065,857,2608,1969,617,331,1473,1113,165.28476430278198,0.3286042944785276
IND,95,92.62,709,2512,1467,8618,742,2702,1844,669,409,1597,1087,148.7141144623337,0.27461139896373055
LAC,124,114.78,841,2401,1586,8911,738,2790,1848,612,347,1626,1022,147.07371764797134,0.2645161290322581
LAL,65,85.13,582,2069,1021,6905,789,2213,1334,510,267,1444,972,131.45606460232204,0.35652959783099863
MEM,90,108.95,757,2176,1489,8112,880,2582,1725,629,335,1798,993,147.55329846133125,0.34082106893880715
MIA,63,72.94,799,2349,1217,8312,856,2648,1728,579,464,1647,1019,152.18627977142498,0.32326283987915405
MIL,83,104.65,720,2462,1413,8497,723,2589,1984,666,436,1660,1096,161.2450026190737,0.27925840092699883
MIN,48,59.88,599,2607,1580,8591,932,2516,1924,641,368,1620,1085,140.7781473114866,0.37042925278219396
NOP,78,94.04,519,1956,1128,6597,580,2248,1531,502,380,1168,828,175.16617086182362,0.2580071174377224
NYK,59,97.11,636,2445,1262,8060,962,2592,1499,526,451,1584,975,143.91520576228234,0.37114197530864196
OKC,55,86.98,611,2380,1511,8104,936,2628,1610,595,395,1561,1133,146.91818732800655,0.3561643835616438
ORL,62,104.11,618,2178,1232,7442,707,2452,1760,546,305,1445,987,133.14380481613588,0.28833605220228387
PHI,39,56.29,718,1960,1225,7299,690,2354,1816,613,375,1573,1197,172.95460724397304,0.2931180968564146
PHO,73,73.28,569,2554,1615,8430,882,2464,1531,588,385,1887,1171,149.2346500751184,0.35795454545454547
POR,43,102.49,847,2148,1386,8223,706,2428,1508,522,342,1581,978,141.7957408545345,0.2907742998352554
SAC,77,88.28,562,1838,998,6360,525,1876,1402,506,232,1303,850,155.82466310740534,0.2798507462686567
SAS,99,105.4,753,2469,1440,8637,821,2777,1954,655,484,1498,1057,149.70433155200485,0.29564277997839394
TOR,57,108.46,626,2359,1570,8166,847,2535,1469,620,379,1609,932,158.75562758955206,0.3341222879684418
UTA,71,80.32,791,2242,1401,8258,771,2774,1651,550,410,1545,1060,145.8055615445778,0.2779379956741168
WAS,57,100.79,718,2526,1368,8574,806,2564,1893,655,325,1643,1062,147.80510309899222,0.31435257410296413
